brand,transmission,make_year,fuel_type,engine_capacity(CC),km_driven,price
Mahindra,Manual,2020.0,Diesel,2184.0,11003.0,13541.0
Hyundai,Manual,2018.0,Petrol,1591.0,66936.0,8646.0
Tata,Manual,2022.0,Diesel,1956.0,27990.0,16378.999999999998
Honda,Automatic,2023.0,Petrol,1498.0,5061.0,13497.0
Ford,Manual,2021.0,Diesel,1498.0,23480.0,9757.0
Honda,Manual,2021.0,Petrol,1199.0,44787.0,8756.0
Tata,Manual,2022.0,Petrol,1199.0,450.0,8943.0
Mahindra,Automatic,2022.0,Diesel,2184.0,62567.0,25542.0
Ford,Automatic,2019.0,Petrol,1497.0,58503.0,8426.0
Maruti,Manual,2018.0,Petrol,1197.0,58159.0,5181.0
Hyundai,Manual,2023.0,Petrol,1197.0,15568.0,7579.0
Tata,Manual,2023.0,Petrol,1199.0,6676.0,5896.0
Maruti,Manual,2018.0,Petrol,998.0,52966.0,3410.0
Hyundai,Manual,2020.0,Diesel,1582.0,60592.0,10923.0
Maruti,Automatic,2014.0,Petrol,998.0,71297.0,2915.0
Honda,Manual,2022.0,Petrol,1199.0,15935.0,7689.0
KIA,Manual,2021.0,Diesel,1493.0,71040.0,10780.0
Hyundai,Manual,2023.0,Petrol,1197.0,2850.0,7810.0
MG,Automatic,2022.0,Petrol,1451.0,26999.0,18172.0
Tata,Manual,2023.0,Petrol,1199.0,12096.0,6490.0
Honda,Automatic,2017.0,Petrol,1497.0,65434.0,8657.0
Hyundai,Manual,2020.0,Diesel,1493.0,48995.0,11660.0
Ford,Manual,2018.0,Petrol,1194.0,66584.0,5445.0
Maruti,Manual,2020.0,Petrol,1462.0,24961.0,9658.0
Maruti,Manual,2019.0,Petrol,1197.0,33972.0,5654.0
Tata,Manual,2022.0,CNG,1199.0,22874.0,7524.0
Maruti,Manual,2019.0,Petrol,1197.0,109938.0,6424.0
Maruti,Manual,2019.0,Petrol,796.0,60452.0,3476.0
Maruti,Automatic,2016.0,Petrol,998.0,32747.0,4334.0
KIA,Automatic,2022.0,Diesel,1493.0,34694.0,18194.0
Maruti,Manual,2019.0,Petrol,1197.0,51244.0,5192.0
Renault,Manual,2023.0,Petrol,999.0,6843.0,6996.0
Ford,Automatic,2019.0,Petrol,1496.0,20751.0,8866.0
Tata,Automatic,2023.0,Petrol,1199.0,16393.0,7348.0
Honda,Automatic,2017.0,Petrol,1497.0,74671.0,9152.0
Hyundai,Manual,2017.0,Petrol,1591.0,94020.0,9009.0
Mahindra,Automatic,2021.0,Diesel,2179.0,25366.0,15400.0
Maruti,Manual,2020.0,CNG,998.0,75502.0,4752.0
Tata,Manual,2022.0,Petrol,1199.0,22894.0,10351.0
Tata,Manual,2020.0,Petrol,1199.0,42313.0,5016.0
Tata,Manual,2020.0,Petrol,1199.0,58047.0,6490.0
Maruti,Manual,2018.0,Petrol,1462.0,76120.0,7930.999999999999
Hyundai,Manual,2017.0,Petrol,1197.0,60964.0,4939.0
Tata,Manual,2023.0,Petrol,1199.0,17297.0,6314.0
Renault,Manual,2020.0,Petrol,999.0,34646.0,6534.0
